reaction	isozyme	gene_product	stoichiometry
12PPDRtex	iso1	b0241	3
12PPDRtex	iso2	b0929	3
12PPDRtex	iso3	b1377	3
12PPDRtex	iso4	b2215	3
12PPDStex	iso1	b0241	3
12PPDStex	iso2	b0929	3
12PPDStex	iso3	b1377	3
12PPDStex	iso4	b2215	3
13PPDH2	iso1	b3011	2
14GLUCANabcpp	iso1	b4032	1
14GLUCANabcpp	iso1	b4033	1
14GLUCANabcpp	iso1	b4034	1
14GLUCANabcpp	iso1	b4035	2
14GLUCANtexi	iso1	b4036	3
23CAMPtex	iso1	b0241	3
23CAMPtex	iso2	b0929	3
23CAMPtex	iso3	b1377	3
23CAMPtex	iso4	b2215	3
23CCMPtex	iso1	b0241	3
23CCMPtex	iso2	b0929	3
23CCMPtex	iso3	b1377	3
23CCMPtex	iso4	b2215	3
23CGMPtex	iso1	b0241	3
23CGMPtex	iso2	b0929	3
23CGMPtex	iso3	b1377	3
23CGMPtex	iso4	b2215	3
23CUMPtex	iso1	b0241	3
23CUMPtex	iso2	b0929	3
23CUMPtex	iso3	b1377	3
23CUMPtex	iso4	b2215	3
23DAPPAtex	iso1	b0241	3
23DAPPAtex	iso2	b0929	3
23DAPPAtex	iso3	b1377	3
23DAPPAtex	iso4	b2215	3
23DOGULNt4pp	iso1	b3577	1
23DOGULNt4pp	iso1	b3578	1
23DOGULNt4pp	iso1	b3579	1
23PDE2pp	iso1	b4213	1
23PDE4pp	iso1	b4213	1
23PDE7pp	iso1	b4213	1
23PDE9pp	iso1	b4213	1
26DAHtex	iso1	b0241	3
26DAHtex	iso2	b0929	3
26DAHtex	iso3	b1377	3
26DAHtex	iso4	b2215	3
2AGPA120tipp	iso1	b2835	1
2AGPA140tipp	iso1	b2835	1
2AGPA141tipp	iso1	b2835	1
2AGPA160tipp	iso1	b2835	1
2AGPA161tipp	iso1	b2835	1
2AGPA180tipp	iso1	b2835	1
2AGPA181tipp	iso1	b2835	1
2AGPE120tipp	iso1	b2835	1
2AGPE140tipp	iso1	b2835	1
2AGPE141tipp	iso1	b2835	1
2AGPE160tipp	iso1	b2835	1
2AGPE161tipp	iso1	b2835	1
2AGPE180tipp	iso1	b2835	1
2AGPE181tipp	iso1	b2835	1
2AGPEAT120	iso1	b2836	1
2AGPEAT140	iso1	b2836	1
2AGPEAT141	iso1	b2836	1
2AGPEAT160	iso1	b2836	1
2AGPEAT161	iso1	b2836	1
2AGPEAT180	iso1	b2836	1
2AGPEAT181	iso1	b2836	1
2AGPG120tipp	iso1	b2835	1
2AGPG140tipp	iso1	b2835	1
2AGPG141tipp	iso1	b2835	1
2AGPG160tipp	iso1	b2835	1
2AGPG161tipp	iso1	b2835	1
2AGPG180tipp	iso1	b2835	1
2AGPG181tipp	iso1	b2835	1
2AGPGAT120	iso1	b2836	1
2AGPGAT140	iso1	b2836	1
2AGPGAT141	iso1	b2836	1
2AGPGAT160	iso1	b2836	1
2AGPGAT161	iso1	b2836	1
2AGPGAT180	iso1	b2836	1
2AGPGAT181	iso1	b2836	1
2DDARAA	iso1	b0268	1
2DDARAA	iso2	b4298	1
2DGLCptspp	iso1	b1817	1
2DGLCptspp	iso1	b1818	1
2DGLCptspp	iso1	b1819	1
2DGLCptspp	iso1	b2415	1
2DGLCptspp	iso1	b2416	1
2DGLCtex	iso1	b0241	3
2DGLCtex	iso2	b0929	3
2DGLCtex	iso3	b1377	3
2DGLCtex	iso4	b2215	3
2DGULRGx	iso1	b3553	2
2DGULRGy	iso1	b3553	2
2DGULRx	iso1	b3553	2
2DGULRy	iso1	b3553	2
2DOXG6PP	iso1	b0446	1
2DOXG6PP	iso2	b1727	1
2DOXG6PP	iso3	b2293	1
2DOXG6PP	iso4	b3826	1
2HESR	iso1	b2302	2
2HESR	iso2	b2989	2
2HPTCOAT	iso1	b1400	1
2MAHMP	iso1	b0446	1
2MAHMP	iso2	b1134	1
34dhpactex	iso1	b0241	3
34dhpactex	iso2	b0929	3
34dhpactex	iso3	b1377	3
34dhpactex	iso4	b2215	3
3AMACHYD	iso1	b1009	1
3AMPtex	iso1	b0241	3
3AMPtex	iso2	b0929	3
3AMPtex	iso3	b1377	3
3AMPtex	iso4	b2215	3
3CMPtex	iso1	b0241	3
3CMPtex	iso2	b0929	3
3CMPtex	iso3	b1377	3
3CMPtex	iso4	b2215	3
3GMPtex	iso1	b0241	3
3GMPtex	iso2	b0929	3
3GMPtex	iso3	b1377	3
3GMPtex	iso4	b2215	3
3HAD100	iso1	b0180	1
3HAD100	iso2	b0954	2
3HAD120	iso1	b0180	1
3HAD120	iso2	b0954	2
3HAD121	iso1	b0180	1
3HAD121	iso2	b0954	2
3HAD140	iso1	b0180	1
3HAD140	iso2	b0954	2
3HAD141	iso1	b0180	1
3HAD141	iso2	b0954	2
3HAD160	iso1	b0180	1
3HAD160	iso2	b0954	2
3HAD161	iso1	b0180	1
3HAD161	iso2	b0954	2
3HAD180	iso1	b0180	1
3HAD180	iso2	b0954	2
3HAD181	iso1	b0180	1
3HAD181	iso2	b0954	2
3HAD40	iso1	b0180	1
3HAD40	iso2	b0954	2
3HAD60	iso1	b0180	1
3HAD60	iso2	b0954	2
3HAD80	iso1	b0180	1
3HAD80	iso2	b0954	2
3HBZCT	iso1	b0597	4
3HCINNMH	iso1	b0347	1
3HPADHi	iso1	b1300	1
3HPPPNH	iso1	b0347	1
3HPPtex	iso1	b0241	3
3HPPtex	iso2	b0929	3
3HPPtex	iso3	b1377	3
3HPPtex	iso4	b2215	3
3KGK	iso1	b3580	2
3NTD2pp	iso1	b0383	1
3NTD2pp	iso2	b4213	1
3NTD4pp	iso1	b0383	1
3NTD4pp	iso2	b4213	1
3NTD7pp	iso1	b0383	1
3NTD7pp	iso2	b4213	1
3NTD9pp	iso1	b0383	1
3NTD9pp	iso2	b4213	1
3OAR100	iso1	b1093	4
3OAR120	iso1	b1093	4
3OAR121	iso1	b1093	4
3OAR140	iso1	b1093	4
3OAR141	iso1	b1093	4
3OAR160	iso1	b1093	4
3OAR161	iso1	b1093	4
3OAR180	iso1	b1093	4
3OAR181	iso1	b1093	4
3OAR40	iso1	b1093	4
3OAR60	iso1	b1093	4
3OAR80	iso1	b1093	4
3OAS100	iso1	b1095	2
3OAS100	iso2	b2323	2
3OAS120	iso1	b1095	2
3OAS120	iso2	b2323	2
3OAS121	iso1	b2323	2
3OAS140	iso1	b1095	2
3OAS140	iso2	b2323	2
3OAS141	iso1	b2323	2
3OAS160	iso1	b1095	2
3OAS160	iso2	b2323	2
3OAS161	iso1	b2323	2
3OAS180	iso1	b1095	2
3OAS180	iso2	b2323	2
3OAS181	iso1	b1095	2
3OAS60	iso1	b1095	2
3OAS60	iso2	b2323	2
3OAS80	iso1	b1095	2
3OAS80	iso2	b2323	2
3OXCOAT	iso1	b1397	1
3PEPTabcpp	iso1	b1243	1
3PEPTabcpp	iso1	b1244	1
3PEPTabcpp	iso1	b1245	1
3PEPTabcpp	iso1	b1246	1
3PEPTabcpp	iso1	b1247	1
3PEPTabcpp	iso2	b1244	1
3PEPTabcpp	iso2	b1245	1
3PEPTabcpp	iso2	b1246	1
3PEPTabcpp	iso2	b1247	1
3PEPTabcpp	iso2	b1329	1
3PEPTabcpp	iso3	b2177	1
3PEPTabcpp	iso3	b2178	1
3PEPTabcpp	iso3	b2179	1
3PEPTabcpp	iso3	b2180	2
3PEPTtex	iso1	b0241	3
3PEPTtex	iso2	b0929	3
3PEPTtex	iso3	b1377	3
3PEPTtex	iso4	b2215	3
3SLAR	iso1	b3882	4
3UMPtex	iso1	b0241	3
3UMPtex	iso2	b0929	3
3UMPtex	iso3	b1377	3
3UMPtex	iso4	b2215	3
42A12BOOXpp	iso1	b1386	2
4ABZGLUH	iso1	b1337	1
4ABZGLUH	iso1	b1338	1
4ABZGLUtex	iso1	b0241	3
4ABZGLUtex	iso2	b0929	3
4ABZGLUtex	iso3	b1377	3
4ABZGLUtex	iso4	b2215	3
4ABZGLUtr	iso1	b1336	1
4HBZt3pp	iso1	b3240	1
4HBZt3pp	iso1	b3241	1
4HOXPACDtex	iso1	b0241	3
