Condition	GR	Ribosome	ActiveR
Acetate	0.3	6.624906061	4.687433534
Chemostat	0.12	5.824027364	2.864275753
Chemostat	0.2	6.339881832	3.913507304
Chemostat	0.35	7.035733218	5.195161659
Chemostat	0.5	9.420515091	7.548489656
Fructose	0.65	12.36148947	10.3810958
Fumarate	0.42	8.9221144	6.888397147
Galactose 	0.26	7.522765265	5.093538981
Glucose	0.58	12.31629979	10.14695153
Glucosamine	0.46	10.10666059	7.960725809
Glycerol	0.47	10.45813488	8.274955209
Mannose	0.47	9.030639429	7.145455441
Pyruvate	0.4	8.207851571	6.265535551
Succinate	0.44	9.678353479	7.55048853
Xylose	0.55	11.71670541	9.561109759
