gene_product	ala__L_c	arg__L_c	asn__L_c	asp__L_c	cys__L_c	gln__L_c	glu__L_c	gly_c	his__L_c	ile__L_c	leu__L_c	lys__L_c	met__L_c	phe__L_c	pro__L_c	ser__L_c	thr__L_c	trp__L_c	tyr__L_c	val__L_c
b0001	1	1	1	0	0	0	0	3	0	4	0	1	1	0	0	1	8	0	0	0
b0002	91	46	38	44	12	30	53	63	14	46	89	34	23	30	29	51	34	4	20	69
b0003	37	17	12	13	9	14	21	27	6	16	31	10	10	10	16	17	9	4	8	23
b0004	47	17	19	24	4	21	29	28	10	17	54	22	8	24	23	19	23	3	9	27
b0005	7	7	2	5	0	4	2	11	13	3	7	7	3	0	9	3	1	6	3	5
b0006	19	15	13	17	0	14	16	14	3	17	31	18	6	16	12	15	13	2	10	7
b0007	56	20	16	11	8	20	9	45	5	39	53	6	20	34	21	31	24	14	11	33
b0008	39	16	11	21	3	15	25	17	2	26	33	22	5	7	10	16	17	4	12	16
b0009	16	12	3	9	3	9	17	14	3	13	20	6	4	5	13	12	14	1	3	18
b0010	20	2	9	2	1	4	4	27	3	15	31	5	7	18	5	5	12	3	6	9
b0011	19	16	11	9	2	12	17	17	11	7	39	16	8	7	4	15	8	2	3	14
b0012	9	13	12	3	16	3	3	2	0	8	17	4	2	10	8	38	5	2	1	5
b0013	13	5	9	10	4	5	3	6	3	12	13	9	4	3	3	16	8	1	1	6
b0014	70	25	26	55	1	37	50	47	8	44	48	50	15	15	23	25	44	1	7	47
b0015	27	27	8	20	10	23	31	53	10	13	23	26	7	17	16	12	18	0	10	25
b0016	48	35	10	23	5	8	23	29	8	17	47	15	7	13	14	21	19	8	6	14
b0018	8	5	1	2	3	2	5	1	2	5	5	6	3	1	1	1	7	0	1	10
b0019	49	14	9	10	3	6	9	36	8	40	64	11	11	18	15	24	13	8	8	32
b0020	23	18	12	12	6	11	26	18	9	16	33	12	11	15	13	19	10	3	13	21
b0021	6	15	4	7	1	8	6	11	9	7	18	11	5	5	7	15	7	5	8	12
b0022	7	8	4	2	5	5	0	9	4	5	5	4	4	1	2	10	8	1	2	5
b0023	19	7	6	2	0	5	3	2	3	7	3	14	4	2	1	4	2	0	1	2
b0024	8	5	1	1	3	3	1	7	2	5	9	2	3	7	1	7	2	0	2	3
b0025	28	29	8	16	4	15	19	29	8	13	42	13	5	17	13	9	14	0	5	26
b0026	92	46	21	71	14	31	58	75	25	46	77	61	24	31	42	47	47	23	33	74
b0027	18	6	7	8	2	5	1	15	3	14	22	5	4	12	3	10	5	6	6	12
b0028	12	5	5	12	0	4	13	13	4	8	16	4	5	9	8	12	9	0	1	9
b0029	30	23	12	19	4	12	29	22	6	21	23	14	6	8	12	18	12	2	6	37
b0030	39	15	11	17	8	11	13	22	6	17	36	7	9	12	20	13	17	3	4	24
b0031	40	15	7	21	2	6	16	32	10	16	24	12	9	11	3	13	14	1	2	19
b0032	39	16	16	25	4	14	20	33	15	23	36	20	7	16	20	18	27	2	8	23
b0033	112	69	36	64	14	35	91	83	15	71	83	56	31	34	44	46	60	4	31	94
b0034	6	12	6	3	4	5	14	4	2	11	12	9	7	1	5	7	5	3	4	11
b0035	15	13	6	11	4	7	10	24	9	14	16	5	7	4	8	8	9	1	6	19
b0036	36	15	10	14	1	4	22	23	3	16	25	11	7	13	15	13	8	3	5	17
b0037	41	31	20	31	18	25	34	34	10	38	42	24	13	26	21	23	28	7	20	31
b0038	37	15	16	18	7	16	32	36	9	29	33	20	17	17	24	14	22	7	17	19
b0039	36	23	16	25	7	12	28	35	4	18	29	19	17	22	9	18	19	6	14	23
b0040	40	16	16	11	11	8	17	39	3	47	58	17	18	37	24	29	32	23	18	40
