gene_product	metabolite	aa_count
b0688	lys__L_c	29
b0688	ser__L_c	29
b0688	pro__L_c	28
b0688	gln__L_c	18
b0688	glu__L_c	31
b0688	asn__L_c	29
b0688	his__L_c	15
b0688	val__L_c	40
b0688	ile__L_c	30
b0688	cys__L_c	5
b0688	tyr__L_c	14
b0688	phe__L_c	20
b0688	asp__L_c	34
b0688	arg__L_c	20
b0688	trp__L_c	5
b0688	gly_c	53
b0688	leu__L_c	44
b0688	met__L_c	11
b0688	thr__L_c	24
b0688	ala__L_c	67
b0832	lys__L_c	4
b0832	ser__L_c	15
b0832	pro__L_c	14
b0832	gln__L_c	8
b0832	glu__L_c	6
b0832	asn__L_c	10
b0832	his__L_c	5
b0832	val__L_c	27
b0832	ile__L_c	27
b0832	cys__L_c	1
b0832	tyr__L_c	5
b0832	phe__L_c	21
b0832	asp__L_c	13
b0832	arg__L_c	20
b0832	trp__L_c	8
b0832	gly_c	23
b0832	leu__L_c	37
b0832	met__L_c	9
b0832	thr__L_c	11
b0832	ala__L_c	39
b0586	lys__L_c	25
b0586	ser__L_c	62
b0586	pro__L_c	92
b0586	gln__L_c	83
b0586	glu__L_c	73
b0586	asn__L_c	28
b0586	his__L_c	27
b0586	val__L_c	78
b0586	ile__L_c	53
b0586	cys__L_c	13
b0586	tyr__L_c	33
b0586	phe__L_c	46
b0586	asp__L_c	74
b0586	arg__L_c	76
b0586	trp__L_c	24
b0586	gly_c	84
b0586	leu__L_c	160
b0586	met__L_c	27
b0586	thr__L_c	75
b0586	ala__L_c	160
b3772	lys__L_c	21
b3772	ser__L_c	24
b3772	pro__L_c	21
b3772	gln__L_c	19
b3772	glu__L_c	38
b3772	asn__L_c	14
b3772	his__L_c	16
b3772	val__L_c	40
b3772	ile__L_c	20
b3772	cys__L_c	7
b3772	tyr__L_c	14
b3772	phe__L_c	25
b3772	asp__L_c	29
b3772	arg__L_c	31
b3772	trp__L_c	2
b3772	gly_c	46
b3772	leu__L_c	59
b3772	met__L_c	12
b3772	thr__L_c	16
b3772	ala__L_c	60
b1759	lys__L_c	3
b1759	ser__L_c	5
b1759	pro__L_c	8
b1759	gln__L_c	9
b1759	glu__L_c	15
b1759	asn__L_c	0
b1759	his__L_c	7
b1759	val__L_c	9
b1759	ile__L_c	8
b1759	cys__L_c	1
b1759	tyr__L_c	2
b1759	phe__L_c	3
b1759	asp__L_c	6
b1759	arg__L_c	9
b1759	trp__L_c	3
b1759	gly_c	8
b1759	leu__L_c	14
b1759	met__L_c	3
b1759	thr__L_c	2
b1759	ala__L_c	20
b1884	lys__L_c	7
b1884	ser__L_c	18
b1884	pro__L_c	11
b1884	gln__L_c	15
b1884	glu__L_c	16
b1884	asn__L_c	10
b1884	his__L_c	11
b1884	val__L_c	13
b1884	ile__L_c	10
b1884	cys__L_c	2
b1884	tyr__L_c	11
b1884	phe__L_c	16
b1884	asp__L_c	13
b1884	arg__L_c	27
b1884	trp__L_c	3
b1884	gly_c	17
b1884	leu__L_c	38
b1884	met__L_c	6
b1884	thr__L_c	19
b1884	ala__L_c	23
b3850	lys__L_c	12
b3850	ser__L_c	11
b3850	pro__L_c	7
b3850	gln__L_c	7
b3850	glu__L_c	12
b3850	asn__L_c	7
b3850	his__L_c	5
b3850	val__L_c	11
b3850	ile__L_c	10
b3850	cys__L_c	1
b3850	tyr__L_c	10
b3850	phe__L_c	7
b3850	asp__L_c	8
b3850	arg__L_c	17
b3850	trp__L_c	4
b3850	gly_c	7
b3850	leu__L_c	12
b3850	met__L_c	6
b3850	thr__L_c	11
b3850	ala__L_c	16
b4283	lys__L_c	12
b4283	ser__L_c	4
b4283	pro__L_c	3
b4283	gln__L_c	6
b4283	glu__L_c	8
b4283	asn__L_c	2
b4283	his__L_c	0
b4283	val__L_c	5
b4283	ile__L_c	5
b4283	cys__L_c	0
b4283	tyr__L_c	1
b4283	phe__L_c	2
b4283	asp__L_c	4
b4283	arg__L_c	9
b4283	trp__L_c	1
b4283	gly_c	2
b4283	leu__L_c	8
b4283	met__L_c	4
b4283	thr__L_c	5
b4283	ala__L_c	7
b3428	lys__L_c	37
b3428	ser__L_c	48
b3428	pro__L_c	28
b3428	gln__L_c	36
b3428	glu__L_c	54
b3428	asn__L_c	49
b3428	his__L_c	26
b3428	val__L_c	54
b3428	ile__L_c	50
b3428	cys__L_c	5
b3428	tyr__L_c	38
b3428	phe__L_c	30
b3428	asp__L_c	53
b3428	arg__L_c	46
b3428	trp__L_c	14
b3428	gly_c	48
b3428	leu__L_c	87
b3428	met__L_c	19
b3428	thr__L_c	35
b3428	ala__L_c	58
b2143	lys__L_c	10
b2143	ser__L_c	19
b2143	pro__L_c	16
b2143	gln__L_c	13
b2143	glu__L_c	13
b2143	asn__L_c	11
b2143	his__L_c	9
b2143	val__L_c	8
b2143	ile__L_c	13
b2143	cys__L_c	5
b2143	tyr__L_c	9
b2143	phe__L_c	11
b2143	asp__L_c	17
b2143	arg__L_c	11
b2143	trp__L_c	3
b2143	gly_c	20
b2143	leu__L_c	39
b2143	met__L_c	6
b2143	thr__L_c	14
b2143	ala__L_c	47
b2988	lys__L_c	31
b2988	ser__L_c	24
b2988	pro__L_c	27
b2988	gln__L_c	30
b2988	glu__L_c	47
b2988	asn__L_c	25
b2988	his__L_c	19
b2988	val__L_c	39
b2988	ile__L_c	38
b2988	cys__L_c	9
b2988	tyr__L_c	23
b2988	phe__L_c	25
b2988	asp__L_c	42
b2988	arg__L_c	30
b2988	trp__L_c	17
b2988	gly_c	48
b2988	leu__L_c	62
b2988	met__L_c	11
b2988	thr__L_c	31
b2988	ala__L_c	41
b2341	lys__L_c	40
b2341	ser__L_c	32
b2341	pro__L_c	38
b2341	gln__L_c	35
b2341	glu__L_c	44
b2341	asn__L_c	20
b2341	his__L_c	13
b2341	val__L_c	53
b2341	ile__L_c	52
b2341	cys__L_c	9
b2341	tyr__L_c	13
b2341	phe__L_c	24
b2341	asp__L_c	30
b2341	arg__L_c	44
b2341	trp__L_c	2
b2341	gly_c	69
b2341	leu__L_c	68
b2341	met__L_c	16
b2341	thr__L_c	37
b2341	ala__L_c	75
b2314	lys__L_c	20
b2314	ser__L_c	8
b2314	pro__L_c	31
b2314	gln__L_c	8
b2314	glu__L_c	15
b2314	asn__L_c	6
b2314	his__L_c	1
b2314	val__L_c	21
b2314	ile__L_c	7
